algorithm,type,speed,speed_iterations,memory,memory_iterations,audio_length,sample_rate,factor
TSMNET,TSM,0.10338052098173649,50,109879842.4,5,5.464520833333333,48000,1.5
TSMNET,TSM,0.12648795222165063,50,141972593.4,5,5.464520833333333,48000,2
NM,TSM,2.362014667820185,50,113743964.2,5,5.464520833333333,48000,0.75
NM,TSM,2.3826512199197896,50,113744036.8,5,5.464520833333333,48000,0.85
NM,TSM,2.4988706287206153,50,113744177.8,5,5.464520833333333,48000,1.35
NM,TSM,2.4772926416201515,50,113744153.0,5,5.464520833333333,48000,1.25
NM,TSM,2.5288637587591074,50,113744134.0,5,5.464520833333333,48000,1.5
NM,TSM,2.631430305740796,50,113744125.6,5,5.464520833333333,48000,2
RES,TSM,0.0016359704616479575,50,791266.8,5,5.464520833333333,48000,0.75
RES,TSM,0.002395040059927851,50,1787342.4,5,5.464520833333333,48000,0.85
RES,TSM,0.002771978739183396,50,1420570.8,5,5.464520833333333,48000,1.35
RES,TSM,0.0027748210611753168,50,2626646.2,5,5.464520833333333,48000,1.25
RES,TSM,0.002009158080909401,50,1577950.8,5,5.464520833333333,48000,1.5
RES,TSM,0.0014304944616742431,50,2102619.6,5,5.464520833333333,48000,2
PSOLA,PS,1.9394863732787782,50,57656626.4,5,5.464520833333333,48000,-7
PSOLA,PS,2.0074150074808856,50,57656569.2,5,5.464520833333333,48000,-1
PSOLA,PS,2.0203547438792886,50,57656507.8,5,5.464520833333333,48000,1
PSOLA,PS,2.0563281515194105,50,57656626.6,5,5.464520833333333,48000,3
PSOLA,PS,1.9784108937205747,50,57656793.4,5,5.464520833333333,48000,7
PSOLA,PS,2.0066130961407906,50,57656899.0,5,5.464520833333333,48000,12
PVPS,PS,1.9131694365199656,50,7611186.0,5,5.464520833333333,48000,-7
PVPS,PS,2.6794627171987666,50,7594991.6,5,5.464520833333333,48000,-1
PVPS,PS,3.0088593331398443,50,7596515.0,5,5.464520833333333,48000,1
PVPS,PS,3.323396643740125,50,7584191.6,5,5.464520833333333,48000,3
PVPS,PS,4.20342620639829,50,7592533.2,5,5.464520833333333,48000,7
PVPS,PS,5.472860109459143,50,7591353.0,5,5.464520833333333,48000,12
NMPS,PS,2.1943058431800453,50,113743855.8,5,5.464520833333333,48000,-7
NMPS,PS,2.2140461834403684,50,113743898.0,5,5.464520833333333,48000,-1
NMPS,PS,2.2206190578010863,50,113743790.8,5,5.464520833333333,48000,1
NMPS,PS,2.2767387330997737,50,113743858.2,5,5.464520833333333,48000,3
